SeriesCode,SeriesDescription,GeoAreaName,TimePeriod,Value
Poverty,Proportion of population below international poverty line (%),Armenia,2013,2.2
Poverty,Proportion of population below international poverty line (%),Armenia,2014,2.3
Poverty,Proportion of population below international poverty line (%),Armenia,2015,1.9
Poverty,Proportion of population below international poverty line (%),Armenia,2016,1.8
Poverty,Proportion of population below international poverty line (%),Armenia,2017,1.4
Poverty,Proportion of population below international poverty line (%),Belgium,2003,0.2
Poverty,Proportion of population below international poverty line (%),Belgium,2004,0
Poverty,Proportion of population below international poverty line (%),Belgium,2005,0.2
Poverty,Proportion of population below international poverty line (%),Belgium,2006,0.2
Poverty,Proportion of population below international poverty line (%),Belgium,2007,0.2
Poverty,Proportion of population below international poverty line (%),Belgium,2008,0
Poverty,Proportion of population below international poverty line (%),Belgium,2009,0
Poverty,Proportion of population below international poverty line (%),Belgium,2010,0.2
Poverty,Proportion of population below international poverty line (%),Belgium,2011,0.2
Poverty,Proportion of population below international poverty line (%),Belgium,2012,0.2
Poverty,Proportion of population below international poverty line (%),Belgium,2013,0.2
Poverty,Proportion of population below international poverty line (%),Belgium,2014,0
Poverty,Proportion of population below international poverty line (%),Belgium,2015,0
Poverty,Proportion of population below international poverty line (%),Bhutan,2003,17.6
Poverty,Proportion of population below international poverty line (%),Bhutan,2007,8
Poverty,Proportion of population below international poverty line (%),Bhutan,2012,2.2
Poverty,Proportion of population below international poverty line (%),Bhutan,2017,1.5
Poverty,Proportion of population below international poverty line (%),Bosnia and Herzegovina,2001,0.3
Poverty,Proportion of population below international poverty line (%),Bosnia and Herzegovina,2004,0.2
Poverty,Proportion of population below international poverty line (%),Bosnia and Herzegovina,2007,0.1
Poverty,Proportion of population below international poverty line (%),Bosnia and Herzegovina,2011,0.1
Poverty,Proportion of population below international poverty line (%),Botswana,2002,29.8
Poverty,Proportion of population below international poverty line (%),Botswana,2009,18.2
Poverty,Proportion of population below international poverty line (%),Botswana,2015,16.1
Poverty,Proportion of population below international poverty line (%),Brazil,2001,11.6
Poverty,Proportion of population below international poverty line (%),Brazil,2002,10.3
Poverty,Proportion of population below international poverty line (%),Brazil,2003,11.1
Poverty,Proportion of population below international poverty line (%),Brazil,2004,9.7
Poverty,Proportion of population below international poverty line (%),Brazil,2005,8.6
Poverty,Proportion of population below international poverty line (%),Brazil,2006,7.2
Poverty,Proportion of population below international poverty line (%),Brazil,2007,6.8
Poverty,Proportion of population below international poverty line (%),Brazil,2008,5.6
Poverty,Proportion of population below international poverty line (%),Brazil,2009,5.4
Poverty,Proportion of population below international poverty line (%),Brazil,2011,4.7
Poverty,Proportion of population below international poverty line (%),Brazil,2012,3.8
Poverty,Proportion of population below international poverty line (%),Brazil,2013,3.8
Poverty,Proportion of population below international poverty line (%),Brazil,2014,2.8
Poverty,Proportion of population below international poverty line (%),Brazil,2015,3.4
Poverty,Proportion of population below international poverty line (%),Brazil,2016,4.3
Poverty,Proportion of population below international poverty line (%),Brazil,2017,4.8
Poverty,Proportion of population below international poverty line (%),Solomon Islands,2005,45.6
Poverty,Proportion of population below international poverty line (%),Solomon Islands,2013,25.1
Poverty,Proportion of population below international poverty line (%),Bulgaria,2006,5.5
Poverty,Proportion of population below international poverty line (%),Bulgaria,2007,1.7
Poverty,Proportion of population below international poverty line (%),Bulgaria,2008,1.2
Poverty,Proportion of population below international poverty line (%),Bulgaria,2009,1.2
Poverty,Proportion of population below international poverty line (%),Bulgaria,2010,2
Poverty,Proportion of population below international poverty line (%),Bulgaria,2011,2.2
Poverty,Proportion of population below international poverty line (%),Bulgaria,2012,2
Poverty,Proportion of population below international poverty line (%),Bulgaria,2013,1.7
Poverty,Proportion of population below international poverty line (%),Bulgaria,2014,1.5
Poverty,Proportion of population below international poverty line (%),Burundi,2006,77.7
Poverty,Proportion of population below international poverty line (%),Burundi,2013,71.8
Poverty,Proportion of population below international poverty line (%),Belarus,2000,7.1
Poverty,Proportion of population below international poverty line (%),Belarus,2001,3.2
Poverty,Proportion of population below international poverty line (%),Belarus,2002,2.1
Poverty,Proportion of population below international poverty line (%),Belarus,2003,1.4
Poverty,Proportion of population below international poverty line (%),Belarus,2004,0.3
Poverty,Proportion of population below international poverty line (%),Belarus,2005,0.4
Poverty,Proportion of population below international poverty line (%),Belarus,2006,0.1
Poverty,Proportion of population below international poverty line (%),Belarus,2007,0.1
Poverty,Proportion of population below international poverty line (%),Belarus,2008,0
Poverty,Proportion of population below international poverty line (%),Belarus,2009,0
Poverty,Proportion of population below international poverty line (%),Belarus,2010,0
Poverty,Proportion of population below international poverty line (%),Belarus,2011,0
Poverty,Proportion of population below international poverty line (%),Belarus,2012,0
Poverty,Proportion of population below international poverty line (%),Belarus,2013,0
Poverty,Proportion of population below international poverty line (%),Belarus,2014,0
Poverty,Proportion of population below international poverty line (%),Belarus,2015,0
Poverty,Proportion of population below international poverty line (%),Belarus,2016,0
Poverty,Proportion of population below international poverty line (%),Belarus,2017,0
Poverty,Proportion of population below international poverty line (%),Cameroon,2001,23.1
Poverty,Proportion of population below international poverty line (%),Cameroon,2007,29.3
Poverty,Proportion of population below international poverty line (%),Cameroon,2014,23.8
Poverty,Proportion of population below international poverty line (%),Canada,2000,0.2
Poverty,Proportion of population below international poverty line (%),Canada,2004,0.2
Poverty,Proportion of population below international poverty line (%),Canada,2007,0.2
Poverty,Proportion of population below international poverty line (%),Canada,2010,0.2
Poverty,Proportion of population below international poverty line (%),Canada,2013,0.5
Poverty,Proportion of population below international poverty line (%),Central African Republic,2003,64.8
Poverty,Proportion of population below international poverty line (%),Central African Republic,2008,66.3
Poverty,Proportion of population below international poverty line (%),Sri Lanka,2002,8.3
Poverty,Proportion of population below international poverty line (%),Sri Lanka,2006,3.8
Poverty,Proportion of population below international poverty line (%),Sri Lanka,2009,2.4
Poverty,Proportion of population below international poverty line (%),Sri Lanka,2012,1.9
Poverty,Proportion of population below international poverty line (%),Sri Lanka,2016,0.8
Poverty,Proportion of population below international poverty line (%),Chad,2003,62.9
Poverty,Proportion of population below international poverty line (%),Chad,2011,38.4
Poverty,Proportion of population below international poverty line (%),Chile,2000,4.4
Poverty,Proportion of population below international poverty line (%),Chile,2003,4.2
Poverty,Proportion of population below international poverty line (%),Chile,2006,2.4
Poverty,Proportion of population below international poverty line (%),Chile,2009,2.6
Poverty,Proportion of population below international poverty line (%),Chile,2011,1.6
Poverty,Proportion of population below international poverty line (%),Chile,2013,0.9
Poverty,Proportion of population below international poverty line (%),Chile,2015,1.3
Poverty,Proportion of population below international poverty line (%),Chile,2017,0.7
Poverty,Proportion of population below international poverty line (%),China,2002,31.7
Poverty,Proportion of population below international poverty line (%),China,2005,18.5
Poverty,Proportion of population below international poverty line (%),China,2008,14.8
Poverty,Proportion of population below international poverty line (%),China,2010,11.2
Poverty,Proportion of population below international poverty line (%),China,2011,7.9
Poverty,Proportion of population below international poverty line (%),China,2012,6.5
Poverty,Proportion of population below international poverty line (%),China,2013,1.9
Poverty,Proportion of population below international poverty line (%),China,2014,1.4
Poverty,Proportion of population below international poverty line (%),China,2015,0.7
Poverty,Proportion of population below international poverty line (%),Colombia,2000,16.4
Poverty,Proportion of population below international poverty line (%),Colombia,2001,19.7
Poverty,Proportion of population below international poverty line (%),Colombia,2002,14.3
Poverty,Proportion of population below international poverty line (%),Colombia,2003,12
Poverty,Proportion of population below international poverty line (%),Colombia,2004,10.9
Poverty,Proportion of population below international poverty line (%),Colombia,2005,9.7
Poverty,Proportion of population below international poverty line (%),Colombia,2008,10.4
Poverty,Proportion of population below international poverty line (%),Colombia,2009,8.9
Poverty,Proportion of population below international poverty line (%),Colombia,2010,7.7
Poverty,Proportion of population below international poverty line (%),Colombia,2011,6.3
Poverty,Proportion of population below international poverty line (%),Colombia,2012,6.2
Poverty,Proportion of population below international poverty line (%),Colombia,2013,5.7
Poverty,Proportion of population below international poverty line (%),Colombia,2014,5
Poverty,Proportion of population below international poverty line (%),Colombia,2015,4.5
Poverty,Proportion of population below international poverty line (%),Colombia,2016,4.5
Poverty,Proportion of population below international poverty line (%),Colombia,2017,3.9
Poverty,Proportion of population below international poverty line (%),Comoros,2004,13.5
Poverty,Proportion of population below international poverty line (%),Comoros,2013,17.9
Poverty,Proportion of population below international poverty line (%),Costa Rica,2000,6.5
Poverty,Proportion of population below international poverty line (%),Costa Rica,2001,4.7
Poverty,Proportion of population below international poverty line (%),Costa Rica,2002,4.5
Poverty,Proportion of population below international poverty line (%),Costa Rica,2003,4.4
Poverty,Proportion of population below international poverty line (%),Costa Rica,2004,4.3
Poverty,Proportion of population below international poverty line (%),Costa Rica,2005,3.1
Poverty,Proportion of population below international poverty line (%),Costa Rica,2006,3.2
Poverty,Proportion of population below international poverty line (%),Costa Rica,2007,1.7
Poverty,Proportion of population below international poverty line (%),Costa Rica,2008,2.2
Poverty,Proportion of population below international poverty line (%),Costa Rica,2009,2.4
Poverty,Proportion of population below international poverty line (%),Costa Rica,2010,1.5
Poverty,Proportion of population below international poverty line (%),Costa Rica,2011,1.6
Poverty,Proportion of population below international poverty line (%),Costa Rica,2012,1.6
Poverty,Proportion of population below international poverty line (%),Costa Rica,2013,1.6
Poverty,Proportion of population below international poverty line (%),Costa Rica,2014,1.4
Poverty,Proportion of population below international poverty line (%),Costa Rica,2015,1.5
Poverty,Proportion of population below international poverty line (%),Costa Rica,2016,1.3
Poverty,Proportion of population below international poverty line (%),Costa Rica,2017,1
Poverty,Proportion of population below international poverty line (%),Croatia,2009,1
Poverty,Proportion of population below international poverty line (%),Croatia,2010,1.2
Poverty,Proportion of population below international poverty line (%),Croatia,2011,0.7
Poverty,Proportion of population below international poverty line (%),Croatia,2012,0.7
Poverty,Proportion of population below international poverty line (%),Croatia,2013,0.7
Poverty,Proportion of population below international poverty line (%),Croatia,2014,1
Poverty,Proportion of population below international poverty line (%),Croatia,2015,0.7
Poverty,Proportion of population below international poverty line (%),Cyprus,2004,0
Poverty,Proportion of population below international poverty line (%),Cyprus,2005,0
Poverty,Proportion of population below international poverty line (%),Cyprus,2006,0
Poverty,Proportion of population below international poverty line (%),Cyprus,2007,0
Poverty,Proportion of population below international poverty line (%),Cyprus,2008,0
Poverty,Proportion of population below international poverty line (%),Cyprus,2009,0
Poverty,Proportion of population below international poverty line (%),Cyprus,2010,0
Poverty,Proportion of population below international poverty line (%),Cyprus,2011,0
Poverty,Proportion of population below international poverty line (%),Cyprus,2012,0
Poverty,Proportion of population below international poverty line (%),Cyprus,2013,0
Poverty,Proportion of population below international poverty line (%),Cyprus,2014,0
Poverty,Proportion of population below international poverty line (%),Cyprus,2015,0
Poverty,Proportion of population below international poverty line (%),Benin,2003,48.8
Poverty,Proportion of population below international poverty line (%),Benin,2011,53.1
Poverty,Proportion of population below international poverty line (%),Benin,2015,49.5
Poverty,Proportion of population below international poverty line (%),Denmark,2003,0.2
Poverty,Proportion of population below international poverty line (%),Denmark,2004,0.2
Poverty,Proportion of population below international poverty line (%),Denmark,2005,0.2
Poverty,Proportion of population below international poverty line (%),Denmark,2006,0.2
Poverty,Proportion of population below international poverty line (%),Denmark,2007,0
Poverty,Proportion of population below international poverty line (%),Denmark,2008,0.2
Poverty,Proportion of population below international poverty line (%),Denmark,2009,0.5
Poverty,Proportion of population below international poverty line (%),Denmark,2010,0
Poverty,Proportion of population below international poverty line (%),Denmark,2011,0
Poverty,Proportion of population below international poverty line (%),Denmark,2012,0
Poverty,Proportion of population below international poverty line (%),Denmark,2013,0.2
Poverty,Proportion of population below international poverty line (%),Denmark,2014,0.2
Poverty,Proportion of population below international poverty line (%),Denmark,2015,0.2
Poverty,Proportion of population below international poverty line (%),Dominican Republic,2000,5.5
Poverty,Proportion of population below international poverty line (%),Dominican Republic,2001,3.9
Poverty,Proportion of population below international poverty line (%),Dominican Republic,2002,5.6
Poverty,Proportion of population below international poverty line (%),Dominican Republic,2003,6.6
Poverty,Proportion of population below international poverty line (%),Dominican Republic,2004,8.5
Poverty,Proportion of population below international poverty line (%),Dominican Republic,2005,5.6
Poverty,Proportion of population below international poverty line (%),Dominican Republic,2006,4.3
Poverty,Proportion of population below international poverty line (%),Dominican Republic,2007,4.3
Poverty,Proportion of population below international poverty line (%),Dominican Republic,2008,3.7
Poverty,Proportion of population below international poverty line (%),Dominican Republic,2009,3.1
Poverty,Proportion of population below international poverty line (%),Dominican Republic,2010,2.5
Poverty,Proportion of population below international poverty line (%),Dominican Republic,2011,2.9
Poverty,Proportion of population below international poverty line (%),Dominican Republic,2012,2.6
Poverty,Proportion of population below international poverty line (%),Dominican Republic,2013,2.2
Poverty,Proportion of population below international poverty line (%),Dominican Republic,2014,2.1
Poverty,Proportion of population below international poverty line (%),Dominican Republic,2015,1.8
Poverty,Proportion of population below international poverty line (%),Dominican Republic,2016,1.6
Poverty,Proportion of population below international poverty line (%),Ecuador,2000,28.2
Poverty,Proportion of population below international poverty line (%),Ecuador,2003,14.5
Poverty,Proportion of population below international poverty line (%),Ecuador,2004,15
Poverty,Proportion of population below international poverty line (%),Ecuador,2005,12.1
Poverty,Proportion of population below international poverty line (%),Ecuador,2006,8.1
Poverty,Proportion of population below international poverty line (%),Ecuador,2007,8.5
Poverty,Proportion of population below international poverty line (%),Ecuador,2008,7.5
Poverty,Proportion of population below international poverty line (%),Ecuador,2009,7.2
Poverty,Proportion of population below international poverty line (%),Ecuador,2010,5.6
Poverty,Proportion of population below international poverty line (%),Ecuador,2011,4.7
Poverty,Proportion of population below international poverty line (%),Ecuador,2012,4.5
Poverty,Proportion of population below international poverty line (%),Ecuador,2013,3.2
Poverty,Proportion of population below international poverty line (%),Ecuador,2014,2.6
Poverty,Proportion of population below international poverty line (%),Ecuador,2015,3.4
Poverty,Proportion of population below international poverty line (%),Ecuador,2016,3.6
Poverty,Proportion of population below international poverty line (%),Ecuador,2017,3.2
Poverty,Proportion of population below international poverty line (%),El Salvador,2000,12.2
Poverty,Proportion of population below international poverty line (%),El Salvador,2001,13.5
Poverty,Proportion of population below international poverty line (%),El Salvador,2002,14
Poverty,Proportion of population below international poverty line (%),El Salvador,2003,14.8
Poverty,Proportion of population below international poverty line (%),El Salvador,2004,10.9
Poverty,Proportion of population below international poverty line (%),El Salvador,2005,10.4
Poverty,Proportion of population below international poverty line (%),El Salvador,2006,6.9
Poverty,Proportion of population below international poverty line (%),El Salvador,2007,4.5
Poverty,Proportion of population below international poverty line (%),El Salvador,2008,6.7
Poverty,Proportion of population below international poverty line (%),El Salvador,2009,6.4
Poverty,Proportion of population below international poverty line (%),El Salvador,2010,5.5
Poverty,Proportion of population below international poverty line (%),El Salvador,2011,4.5
Poverty,Proportion of population below international poverty line (%),El Salvador,2012,4.1
Poverty,Proportion of population below international poverty line (%),El Salvador,2013,3.2
Poverty,Proportion of population below international poverty line (%),El Salvador,2014,3
Poverty,Proportion of population below international poverty line (%),El Salvador,2015,1.9
Poverty,Proportion of population below international poverty line (%),El Salvador,2016,2.2
Poverty,Proportion of population below international poverty line (%),El Salvador,2017,1.9
Poverty,Proportion of population below international poverty line (%),Ethiopia,2004,37.2
Poverty,Proportion of population below international poverty line (%),Ethiopia,2010,33.5
Poverty,Proportion of population below international poverty line (%),Ethiopia,2015,27.3
Poverty,Proportion of population below international poverty line (%),Estonia,2003,2.5
Poverty,Proportion of population below international poverty line (%),Estonia,2004,1
Poverty,Proportion of population below international poverty line (%),Estonia,2005,0.7
Poverty,Proportion of population below international poverty line (%),Estonia,2006,0.7
Poverty,Proportion of population below international poverty line (%),Estonia,2007,0.5
Poverty,Proportion of population below international poverty line (%),Estonia,2008,0.5
Poverty,Proportion of population below international poverty line (%),Estonia,2009,0.5
Poverty,Proportion of population below international poverty line (%),Estonia,2010,0.7
Poverty,Proportion of population below international poverty line (%),Estonia,2011,1
Poverty,Proportion of population below international poverty line (%),Estonia,2012,0.7
Poverty,Proportion of population below international poverty line (%),Estonia,2013,1
Poverty,Proportion of population below international poverty line (%),Estonia,2014,0.7
Poverty,Proportion of population below international poverty line (%),Estonia,2015,0.5
Poverty,Proportion of population below international poverty line (%),Fiji,2002,4.9
Poverty,Proportion of population below international poverty line (%),Fiji,2008,3.5
Poverty,Proportion of population below international poverty line (%),Fiji,2013,1.4
Poverty,Proportion of population below international poverty line (%),Finland,2003,0
Poverty,Proportion of population below international poverty line (%),Finland,2004,0
Poverty,Proportion of population below international poverty line (%),Finland,2005,0
Poverty,Proportion of population below international poverty line (%),Finland,2006,0
Poverty,Proportion of population below international poverty line (%),Finland,2007,0
Poverty,Proportion of population below international poverty line (%),Finland,2008,0
Poverty,Proportion of population below international poverty line (%),Finland,2009,0
Poverty,Proportion of population below international poverty line (%),Finland,2010,0
Poverty,Proportion of population below international poverty line (%),Finland,2011,0
Poverty,Proportion of population below international poverty line (%),Finland,2012,0
Poverty,Proportion of population below international poverty line (%),Finland,2013,0
Poverty,Proportion of population below international poverty line (%),Finland,2014,0
Poverty,Proportion of population below international poverty line (%),Finland,2015,0
Poverty,Proportion of population below international poverty line (%),France,2003,0
Poverty,Proportion of population below international poverty line (%),France,2004,0
Poverty,Proportion of population below international poverty line (%),France,2005,0
Poverty,Proportion of population below international poverty line (%),France,2006,0
Poverty,Proportion of population below international poverty line (%),France,2007,0
Poverty,Proportion of population below international poverty line (%),France,2008,0
Poverty,Proportion of population below international poverty line (%),France,2009,0
Poverty,Proportion of population below international poverty line (%),France,2010,0
Poverty,Proportion of population below international poverty line (%),France,2011,0
Poverty,Proportion of population below international poverty line (%),France,2012,0
Poverty,Proportion of population below international poverty line (%),France,2013,0
Poverty,Proportion of population below international poverty line (%),France,2014,0
Poverty,Proportion of population below international poverty line (%),France,2015,0
Poverty,Proportion of population below international poverty line (%),Djibouti,2002,20.6
Poverty,Proportion of population below international poverty line (%),Djibouti,2012,18.3
Poverty,Proportion of population below international poverty line (%),Djibouti,2013,22.7
Poverty,Proportion of population below international poverty line (%),Djibouti,2017,17.1
Poverty,Proportion of population below international poverty line (%),Gabon,2005,8
Poverty,Proportion of population below international poverty line (%),Gabon,2017,3.4
Poverty,Proportion of population below international poverty line (%),Georgia,2000,19.4
Poverty,Proportion of population below international poverty line (%),Georgia,2001,19.4
Poverty,Proportion of population below international poverty line (%),Georgia,2002,10.5
Poverty,Proportion of population below international poverty line (%),Georgia,2003,10.7
Poverty,Proportion of population below international poverty line (%),Georgia,2004,10.1
Poverty,Proportion of population below international poverty line (%),Georgia,2005,10.9
Poverty,Proportion of population below international poverty line (%),Georgia,2006,10.5
Poverty,Proportion of population below international poverty line (%),Georgia,2007,11.8
Poverty,Proportion of population below international poverty line (%),Georgia,2008,10.4
Poverty,Proportion of population below international poverty line (%),Georgia,2009,10.3
Poverty,Proportion of population below international poverty line (%),Georgia,2010,12.2
Poverty,Proportion of population below international poverty line (%),Georgia,2011,11.3
Poverty,Proportion of population below international poverty line (%),Georgia,2012,8.6
Poverty,Proportion of population below international poverty line (%),Georgia,2013,6.6
Poverty,Proportion of population below international poverty line (%),Georgia,2014,5
Poverty,Proportion of population below international poverty line (%),Georgia,2015,3.8
Poverty,Proportion of population below international poverty line (%),Georgia,2016,3.9
Poverty,Proportion of population below international poverty line (%),Georgia,2017,5
Poverty,Proportion of population below international poverty line (%),Gambia,2003,45.3
Poverty,Proportion of population below international poverty line (%),Gambia,2010,25.1
Poverty,Proportion of population below international poverty line (%),Gambia,2015,10.1
Poverty,Proportion of population below international poverty line (%),Germany,2000,0
Poverty,Proportion of population below international poverty line (%),Germany,2001,0
Poverty,Proportion of population below international poverty line (%),Germany,2002,0.2
Poverty,Proportion of population below international poverty line (%),Germany,2003,0.2
Poverty,Proportion of population below international poverty line (%),Germany,2004,0
Poverty,Proportion of population below international poverty line (%),Germany,2005,0
Poverty,Proportion of population below international poverty line (%),Germany,2006,0
Poverty,Proportion of population below international poverty line (%),Germany,2007,0
Poverty,Proportion of population below international poverty line (%),Germany,2008,0
Poverty,Proportion of population below international poverty line (%),Germany,2009,0
Poverty,Proportion of population below international poverty line (%),Germany,2010,0
Poverty,Proportion of population below international poverty line (%),Germany,2011,0
Poverty,Proportion of population below international poverty line (%),Germany,2013,0
Poverty,Proportion of population below international poverty line (%),Germany,2015,0
Poverty,Proportion of population below international poverty line (%),Ghana,2005,24.5
Poverty,Proportion of population below international poverty line (%),Ghana,2012,12
Poverty,Proportion of population below international poverty line (%),Ghana,2016,13.3
Poverty,Proportion of population below international poverty line (%),Kiribati,2006,12.9
Poverty,Proportion of population below international poverty line (%),Greece,2003,0.5
Poverty,Proportion of population below international poverty line (%),Greece,2004,0.7
Poverty,Proportion of population below international poverty line (%),Greece,2005,0.2
Poverty,Proportion of population below international poverty line (%),Greece,2006,0.5
Poverty,Proportion of population below international poverty line (%),Greece,2007,0.5
Poverty,Proportion of population below international poverty line (%),Greece,2008,0.5
Poverty,Proportion of population below international poverty line (%),Greece,2009,0.5
Poverty,Proportion of population below international poverty line (%),Greece,2010,1
Poverty,Proportion of population below international poverty line (%),Greece,2011,1.2
Poverty,Proportion of population below international poverty line (%),Greece,2012,1.5
Poverty,Proportion of population below international poverty line (%),Greece,2013,1
Poverty,Proportion of population below international poverty line (%),Greece,2014,1.5
Poverty,Proportion of population below international poverty line (%),Greece,2015,1.5
Poverty,Proportion of population below international poverty line (%),Guatemala,2000,9.2
Poverty,Proportion of population below international poverty line (%),Guatemala,2006,11.1
Poverty,Proportion of population below international poverty line (%),Guatemala,2014,8.7
Poverty,Proportion of population below international poverty line (%),Guinea,2002,62.2
Poverty,Proportion of population below international poverty line (%),Guinea,2007,59.7
Poverty,Proportion of population below international poverty line (%),Guinea,2012,35.3
Poverty,Proportion of population below international poverty line (%),Haiti,2012,25
Poverty,Proportion of population below international poverty line (%),Honduras,2001,21.3
Poverty,Proportion of population below international poverty line (%),Honduras,2002,23.4
Poverty,Proportion of population below international poverty line (%),Honduras,2003,28.1
Poverty,Proportion of population below international poverty line (%),Honduras,2004,27.2
Poverty,Proportion of population below international poverty line (%),Honduras,2005,26.5
Poverty,Proportion of population below international poverty line (%),Honduras,2006,22.5
Poverty,Proportion of population below international poverty line (%),Honduras,2007,17.2
Poverty,Proportion of population below international poverty line (%),Honduras,2008,16.5
Poverty,Proportion of population below international poverty line (%),Honduras,2009,13.8
Poverty,Proportion of population below international poverty line (%),Honduras,2010,15
Poverty,Proportion of population below international poverty line (%),Honduras,2011,17.1
Poverty,Proportion of population below international poverty line (%),Honduras,2012,19.6
Poverty,Proportion of population below international poverty line (%),Honduras,2013,17.3
Poverty,Proportion of population below international poverty line (%),Honduras,2014,15.9
Poverty,Proportion of population below international poverty line (%),Honduras,2015,16.2
Poverty,Proportion of population below international poverty line (%),Honduras,2016,16
Poverty,Proportion of population below international poverty line (%),Honduras,2017,17.2
Poverty,Proportion of population below international poverty line (%),Hungary,2004,0.2
Poverty,Proportion of population below international poverty line (%),Hungary,2005,0.7
Poverty,Proportion of population below international poverty line (%),Hungary,2006,0.2
Poverty,Proportion of population below international poverty line (%),Hungary,2007,0
Poverty,Proportion of population below international poverty line (%),Hungary,2008,0
Poverty,Proportion of population below international poverty line (%),Hungary,2009,0
Poverty,Proportion of population below international poverty line (%),Hungary,2010,0
Poverty,Proportion of population below international poverty line (%),Hungary,2011,0
Poverty,Proportion of population below international poverty line (%),Hungary,2012,0.2
Poverty,Proportion of population below international poverty line (%),Hungary,2013,0.2
Poverty,Proportion of population below international poverty line (%),Hungary,2014,0.7
Poverty,Proportion of population below international poverty line (%),Hungary,2015,0.5
Poverty,Proportion of population below international poverty line (%),Iceland,2003,0
Poverty,Proportion of population below international poverty line (%),Iceland,2004,0.2
Poverty,Proportion of population below international poverty line (%),Iceland,2005,0
Poverty,Proportion of population below international poverty line (%),Iceland,2006,0.2
